description,attack_vector,complexity,severity,label
buffer overflow in kernel exists in core component.,ADJACENT,LOW,CRITICAL,3
unauthenticated access affects version 2.0.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel affects version 2.0.,NETWORK,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,LOCAL,LOW,CRITICAL,3
unauthenticated access affects version 2.0.,PHYSICAL,LOW,CRITICAL,3
unauthenticated access in legacy module.,LOCAL,LOW,CRITICAL,3
privilege escalation to root in legacy module.,PHYSICAL,LOW,CRITICAL,3
rce via serialized object in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,PHYSICAL,LOW,CRITICAL,3
privilege escalation to root in legacy module.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,NETWORK,LOW,CRITICAL,3
unauthenticated access in legacy module.,LOCAL,LOW,CRITICAL,3
sql injection allows full database dump discovered in beta branch.,LOCAL,LOW,CRITICAL,3
buffer overflow in kernel in legacy module.,PHYSICAL,LOW,CRITICAL,3
rce via serialized object exists in core component.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel in legacy module.,NETWORK,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,LOCAL,LOW,CRITICAL,3
rce via serialized object in legacy module.,LOCAL,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,ADJACENT,LOW,CRITICAL,3
unauthenticated access affects version 2.0.,PHYSICAL,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,LOCAL,LOW,CRITICAL,3
remote code execution exists in core component.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal discovered in beta branch.,PHYSICAL,LOW,CRITICAL,3
sql injection allows full database dump discovered in beta branch.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
remote code execution discovered in beta branch.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,ADJACENT,LOW,CRITICAL,3
rce via serialized object in legacy module.,ADJACENT,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump discovered in beta branch.,LOCAL,LOW,CRITICAL,3
rce via serialized object discovered in beta branch.,NETWORK,LOW,CRITICAL,3
rce via serialized object discovered in beta branch.,LOCAL,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
privilege escalation to root in legacy module.,NETWORK,LOW,CRITICAL,3
unauthenticated access exists in core component.,NETWORK,LOW,CRITICAL,3
privilege escalation to root exists in core component.,LOCAL,LOW,CRITICAL,3
unauthenticated access in legacy module.,NETWORK,LOW,CRITICAL,3
privilege escalation to root affects version 2.0.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,NETWORK,LOW,CRITICAL,3
rce via serialized object affects version 2.0.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
privilege escalation to root exists in core component.,ADJACENT,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,NETWORK,LOW,CRITICAL,3
unauthenticated access exists in core component.,LOCAL,LOW,CRITICAL,3
rce via serialized object discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
remote code execution affects version 2.0.,ADJACENT,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,PHYSICAL,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,LOCAL,LOW,CRITICAL,3
privilege escalation to root exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
rce via serialized object in legacy module.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal discovered in beta branch.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution discovered in beta branch.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel exists in core component.,ADJACENT,LOW,CRITICAL,3
bypass authentication in administrative portal discovered in beta branch.,LOCAL,LOW,CRITICAL,3
rce via serialized object exists in core component.,NETWORK,LOW,CRITICAL,3
rce via serialized object discovered in beta branch.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,NETWORK,LOW,CRITICAL,3
unauthenticated access discovered in beta branch.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
unauthenticated access affects version 2.0.,LOCAL,LOW,CRITICAL,3
privilege escalation to root exists in core component.,ADJACENT,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,NETWORK,LOW,CRITICAL,3
unauthenticated access exists in core component.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,LOCAL,LOW,CRITICAL,3
buffer overflow in kernel discovered in beta branch.,ADJACENT,LOW,CRITICAL,3
unauthenticated access in legacy module.,LOCAL,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
remote code execution in legacy module.,LOCAL,LOW,CRITICAL,3
remote code execution in legacy module.,NETWORK,LOW,CRITICAL,3
buffer overflow in kernel affects version 2.0.,ADJACENT,LOW,CRITICAL,3
rce via serialized object in legacy module.,NETWORK,LOW,CRITICAL,3
sql injection allows full database dump affects version 2.0.,NETWORK,LOW,CRITICAL,3
unauthenticated access exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution exists in core component.,ADJACENT,LOW,CRITICAL,3
sql injection allows full database dump exists in core component.,NETWORK,LOW,CRITICAL,3
remote code execution affects version 2.0.,NETWORK,LOW,CRITICAL,3
bypass authentication in administrative portal affects version 2.0.,NETWORK,LOW,CRITICAL,3
rce via serialized object in legacy module.,NETWORK,LOW,CRITICAL,3
misconfigured access control affects version 2.0.,LOCAL,HIGH,HIGH,2
insecure direct object reference discovered in beta branch.,ADJACENT,MEDIUM,HIGH,2
directory traversal in web server discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
cross-site scripting in search field exists in core component.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,NETWORK,HIGH,HIGH,2
information disclosure of sensitive configs discovered in beta branch.,NETWORK,HIGH,HIGH,2
information disclosure of sensitive configs exists in core component.,NETWORK,HIGH,HIGH,2
insecure direct object reference discovered in beta branch.,LOCAL,LOW,HIGH,2
cross-site scripting in search field discovered in beta branch.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,NETWORK,HIGH,HIGH,2
insecure direct object reference in legacy module.,NETWORK,HIGH,HIGH,2
insecure direct object reference discovered in beta branch.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion in legacy module.,LOCAL,HIGH,HIGH,2
cross-site scripting in search field in legacy module.,NETWORK,HIGH,HIGH,2
insecure direct object reference exists in core component.,PHYSICAL,LOW,HIGH,2
cross-site scripting in search field discovered in beta branch.,NETWORK,HIGH,HIGH,2
misconfigured access control discovered in beta branch.,ADJACENT,LOW,HIGH,2
denial of service via memory exhaustion in legacy module.,LOCAL,MEDIUM,HIGH,2
cross-site scripting in search field exists in core component.,NETWORK,MEDIUM,HIGH,2
information disclosure of sensitive configs exists in core component.,LOCAL,LOW,HIGH,2
information disclosure of sensitive configs discovered in beta branch.,LOCAL,HIGH,HIGH,2
misconfigured access control affects version 2.0.,ADJACENT,HIGH,HIGH,2
cross-site scripting in search field discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
misconfigured access control in legacy module.,NETWORK,LOW,HIGH,2
information disclosure of sensitive configs in legacy module.,NETWORK,LOW,HIGH,2
cross-site scripting in search field affects version 2.0.,ADJACENT,HIGH,HIGH,2
misconfigured access control affects version 2.0.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,NETWORK,LOW,HIGH,2
misconfigured access control discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
denial of service via memory exhaustion affects version 2.0.,NETWORK,LOW,HIGH,2
insecure direct object reference discovered in beta branch.,PHYSICAL,MEDIUM,HIGH,2
misconfigured access control in legacy module.,NETWORK,HIGH,HIGH,2
cross-site scripting in search field discovered in beta branch.,NETWORK,LOW,HIGH,2
insecure direct object reference exists in core component.,PHYSICAL,LOW,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,NETWORK,HIGH,HIGH,2
directory traversal in web server affects version 2.0.,NETWORK,LOW,HIGH,2
insecure direct object reference exists in core component.,NETWORK,HIGH,HIGH,2
cross-site scripting in search field in legacy module.,NETWORK,MEDIUM,HIGH,2
denial of service via memory exhaustion in legacy module.,PHYSICAL,LOW,HIGH,2
cross-site scripting in search field affects version 2.0.,NETWORK,MEDIUM,HIGH,2
directory traversal in web server affects version 2.0.,ADJACENT,MEDIUM,HIGH,2
insecure direct object reference discovered in beta branch.,NETWORK,LOW,HIGH,2
cross-site scripting in search field in legacy module.,LOCAL,HIGH,HIGH,2
misconfigured access control exists in core component.,NETWORK,MEDIUM,HIGH,2
cross-site scripting in search field discovered in beta branch.,LOCAL,LOW,HIGH,2
directory traversal in web server exists in core component.,NETWORK,HIGH,HIGH,2
information disclosure of sensitive configs exists in core component.,NETWORK,MEDIUM,HIGH,2
insecure direct object reference exists in core component.,LOCAL,LOW,HIGH,2
directory traversal in web server in legacy module.,PHYSICAL,HIGH,HIGH,2
insecure direct object reference in legacy module.,NETWORK,MEDIUM,HIGH,2
information disclosure of sensitive configs exists in core component.,NETWORK,LOW,HIGH,2
cross-site scripting in search field exists in core component.,PHYSICAL,LOW,HIGH,2
information disclosure of sensitive configs affects version 2.0.,NETWORK,MEDIUM,HIGH,2
directory traversal in web server affects version 2.0.,NETWORK,HIGH,HIGH,2
directory traversal in web server in legacy module.,NETWORK,LOW,HIGH,2
insecure direct object reference discovered in beta branch.,NETWORK,HIGH,HIGH,2
misconfigured access control in legacy module.,NETWORK,HIGH,HIGH,2
misconfigured access control exists in core component.,NETWORK,HIGH,HIGH,2
cross-site scripting in search field in legacy module.,PHYSICAL,LOW,HIGH,2
directory traversal in web server exists in core component.,NETWORK,LOW,HIGH,2
cross-site scripting in search field affects version 2.0.,NETWORK,MEDIUM,HIGH,2
cross-site scripting in search field exists in core component.,NETWORK,MEDIUM,HIGH,2
insecure direct object reference in legacy module.,ADJACENT,MEDIUM,HIGH,2
directory traversal in web server in legacy module.,NETWORK,LOW,HIGH,2
misconfigured access control exists in core component.,ADJACENT,MEDIUM,HIGH,2
cross-site scripting in search field affects version 2.0.,NETWORK,HIGH,HIGH,2
misconfigured access control discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
cross-site scripting in search field in legacy module.,LOCAL,HIGH,HIGH,2
insecure direct object reference affects version 2.0.,PHYSICAL,LOW,HIGH,2
directory traversal in web server discovered in beta branch.,NETWORK,HIGH,HIGH,2
information disclosure of sensitive configs affects version 2.0.,NETWORK,MEDIUM,HIGH,2
directory traversal in web server in legacy module.,NETWORK,MEDIUM,HIGH,2
directory traversal in web server exists in core component.,NETWORK,LOW,HIGH,2
misconfigured access control affects version 2.0.,NETWORK,MEDIUM,HIGH,2
denial of service via memory exhaustion affects version 2.0.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion exists in core component.,ADJACENT,MEDIUM,HIGH,2
cross-site scripting in search field exists in core component.,ADJACENT,HIGH,HIGH,2
information disclosure of sensitive configs in legacy module.,NETWORK,LOW,HIGH,2
insecure direct object reference discovered in beta branch.,ADJACENT,HIGH,HIGH,2
misconfigured access control affects version 2.0.,ADJACENT,LOW,HIGH,2
directory traversal in web server affects version 2.0.,ADJACENT,MEDIUM,HIGH,2
insecure direct object reference exists in core component.,ADJACENT,HIGH,HIGH,2
information disclosure of sensitive configs affects version 2.0.,LOCAL,MEDIUM,HIGH,2
misconfigured access control in legacy module.,NETWORK,LOW,HIGH,2
information disclosure of sensitive configs exists in core component.,LOCAL,HIGH,HIGH,2
directory traversal in web server exists in core component.,ADJACENT,LOW,HIGH,2
cross-site scripting in search field exists in core component.,ADJACENT,HIGH,HIGH,2
denial of service via memory exhaustion in legacy module.,NETWORK,LOW,HIGH,2
cross-site scripting in search field in legacy module.,NETWORK,MEDIUM,HIGH,2
insecure direct object reference affects version 2.0.,NETWORK,LOW,HIGH,2
cross-site scripting in search field discovered in beta branch.,LOCAL,HIGH,HIGH,2
denial of service via memory exhaustion in legacy module.,NETWORK,HIGH,HIGH,2
misconfigured access control in legacy module.,ADJACENT,LOW,HIGH,2
directory traversal in web server affects version 2.0.,ADJACENT,MEDIUM,HIGH,2
cross-site scripting in search field affects version 2.0.,NETWORK,MEDIUM,HIGH,2
misconfigured access control discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
misconfigured access control discovered in beta branch.,NETWORK,LOW,HIGH,2
misconfigured access control in legacy module.,NETWORK,LOW,HIGH,2
information disclosure of sensitive configs discovered in beta branch.,NETWORK,HIGH,HIGH,2
insecure direct object reference discovered in beta branch.,LOCAL,HIGH,HIGH,2
misconfigured access control in legacy module.,NETWORK,HIGH,HIGH,2
cross-site scripting in search field affects version 2.0.,ADJACENT,MEDIUM,HIGH,2
insecure direct object reference discovered in beta branch.,NETWORK,LOW,HIGH,2
cross-site scripting in search field affects version 2.0.,LOCAL,HIGH,HIGH,2
denial of service via memory exhaustion affects version 2.0.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
denial of service via memory exhaustion in legacy module.,ADJACENT,LOW,HIGH,2
cross-site scripting in search field affects version 2.0.,ADJACENT,MEDIUM,HIGH,2
misconfigured access control discovered in beta branch.,NETWORK,LOW,HIGH,2
directory traversal in web server discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
misconfigured access control discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,NETWORK,LOW,HIGH,2
information disclosure of sensitive configs discovered in beta branch.,NETWORK,HIGH,HIGH,2
information disclosure of sensitive configs discovered in beta branch.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion in legacy module.,LOCAL,HIGH,HIGH,2
information disclosure of sensitive configs exists in core component.,ADJACENT,LOW,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,LOCAL,HIGH,HIGH,2
cross-site scripting in search field in legacy module.,LOCAL,HIGH,HIGH,2
directory traversal in web server exists in core component.,NETWORK,HIGH,HIGH,2
denial of service via memory exhaustion affects version 2.0.,ADJACENT,HIGH,HIGH,2
directory traversal in web server exists in core component.,NETWORK,HIGH,HIGH,2
directory traversal in web server affects version 2.0.,NETWORK,HIGH,HIGH,2
insecure direct object reference affects version 2.0.,NETWORK,LOW,HIGH,2
denial of service via memory exhaustion in legacy module.,NETWORK,LOW,HIGH,2
cross-site scripting in search field affects version 2.0.,NETWORK,MEDIUM,HIGH,2
information disclosure of sensitive configs in legacy module.,LOCAL,MEDIUM,HIGH,2
insecure direct object reference discovered in beta branch.,NETWORK,HIGH,HIGH,2
information disclosure of sensitive configs exists in core component.,LOCAL,HIGH,HIGH,2
denial of service via memory exhaustion in legacy module.,ADJACENT,LOW,HIGH,2
insecure direct object reference affects version 2.0.,NETWORK,LOW,HIGH,2
denial of service via memory exhaustion affects version 2.0.,NETWORK,LOW,HIGH,2
information disclosure of sensitive configs discovered in beta branch.,ADJACENT,MEDIUM,HIGH,2
directory traversal in web server in legacy module.,NETWORK,HIGH,HIGH,2
information disclosure of sensitive configs in legacy module.,NETWORK,LOW,HIGH,2
cross-site scripting in search field discovered in beta branch.,NETWORK,MEDIUM,HIGH,2
denial of service via memory exhaustion in legacy module.,ADJACENT,LOW,HIGH,2
misconfigured access control exists in core component.,ADJACENT,HIGH,HIGH,2
denial of service via memory exhaustion discovered in beta branch.,ADJACENT,LOW,HIGH,2
